ID_0,ISO_0,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1,ISO_1,OKATO,OKTMO,GOST,cartodb_id,created_at,updated_at,name_latin
186,RUS,Russia,48,Moscow City,г. Москва,ЦФО,город федерального значения,City,RU-MOW,45,45,RU-MS|RU-MOW,42,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Moscow
186,RUS,Russia,77,Tyva,Республика Тыва,СФО,республика,Republic,RU-TY,93,93,RU-TY|RU-TYV,76,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Tyva Republic
186,RUS,Russia,72,Tambov,Тамбовская область,ЦФО,область,Region,RU-TAM,68,68,RU-TAM,73,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Tambov Oblast
186,RUS,Russia,71,Sverdlovsk,Свердловская область,УФО,область,Region,RU-SVE,65,65,RU-SVE,72,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Sverdlovsk Oblast
186,RUS,Russia,33,Khanty-Mansiy,Ханты-Мансийский автономный округ - Югра,УФО,автономный округ,Autonomous Province,RU-KHM,71100,718,RU-KHM,71,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Khanty-Mansi Autonomous Okrug - Yugra
186,RUS,Russia,14,Chukot,Чукотский автономный округ,ДФО,автономный округ,Autonomous Province,RU-CHU,77,77,RU-CHU,68,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Chukotka Autonomous Okrug
186,RUS,Russia,79,Tyumen',Тюменская область,УФО,область,Region,RU-TYU,71,71,RU-TYU,20,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Tyumen Oblast
186,RUS,Russia,83,Vladimir,Владимирская область,ЦФО,область,Region,RU-VLA,17,17,RU-VLA,22,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Vladimir Oblast
186,RUS,Russia,49,Moskva,Московская область,ЦФО,область,Region,RU-MOS,46,46,RU-MOS,23,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Moscow Oblast
186,RUS,Russia,84,Volgograd,Волгоградская область,ЮФО,область,Region,RU-VGG,18,18,RU-VGG,29,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Volgograd Oblast
186,RUS,Russia,58,Orenburg,Оренбургская область,ПФО,область,Region,RU-ORE,53,53,RU-ORE,30,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Orenburg Oblast
